Test_Id,Distribution,output_file_path,Agent_1_Max,Agent_1_Max_Unclipped,Agent_1_Sum,Agent_1_Sum_Unclipped,Agent_2_Max,Agent_2_Max_Unclipped,Agent_2_Sum,Agent_2_Sum_Unclipped,Agent_3_Max,Agent_3_Max_Unclipped,Agent_3_Sum,Agent_3_Sum_Unclipped,Max_Envies,Max_Envies_Unclipped,Sum_Envies,Sum_Envies_Unclipped,Envy_Freeness,Number_of_Possible_Allocations,Number_of_Envy_Free_Allocations,Max_Nash_Welfare,Max_Utilitarian_Welfare,Max_Egalitarian_Welfare,LLM_Nash_Welfare,LLM_Utilitarian_Welfare,LLM_Egalitarian_Welfare
1,uniform,outputs/agents_3/items_5/gpt4o/zero_shot1/output_1.txt,14.0,14.0,14.0,-34.0,0.0,-73.0,0.0,-179.0,0.0,-71.0,0.0,-186.0,14.0,14.0,14.0,-399.0,False,243.0,0.0,2267720.0,409.0,95.0,2267720.0,409.0,91.0
2,uniform,outputs/agents_3/items_5/gpt4o/zero_shot1/output_2.txt,0.0,-63.0,0.0,-238.0,0.0,-62.0,0.0,-141.0,58.0,58.0,58.0,22.0,58.0,58.0,58.0,-357.0,False,243.0,0.0,1815430.0,403.0,98.0,1815430.0,384.0,85.0
3,uniform,outputs/agents_3/items_5/gpt4o/zero_shot1/output_3.txt,48.0,48.0,48.0,-39.0,0.0,-55.0,0.0,-188.0,0.0,-43.0,0.0,-104.0,48.0,48.0,48.0,-331.0,False,243.0,3.0,1417059.0,451.0,83.0,1151625.0,343.0,75.0
4,uniform,outputs/agents_3/items_5/gpt4o/zero_shot1/output_4.txt,6.0,6.0,6.0,-28.0,0.0,-40.0,0.0,-191.0,0.0,-89.0,0.0,-243.0,6.0,6.0,6.0,-462.0,False,243.0,1.0,2151360.0,405.0,92.0,2151360.0,405.0,83.0
5,uniform,outputs/agents_3/items_5/gpt4o/zero_shot1/output_5.txt,45.0,45.0,60.0,60.0,7.0,7.0,7.0,-15.0,0.0,-54.0,0.0,-134.0,45.0,45.0,67.0,-89.0,False,243.0,0.0,740480.0,295.0,80.0,528612.0,249.0,58.0
6,uniform,outputs/agents_3/items_5/gpt4o/zero_shot1/output_6.txt,0.0,0.0,0.0,-119.0,53.0,53.0,83.0,83.0,0.0,-49.0,0.0,-206.0,53.0,53.0,83.0,-242.0,False,243.0,1.0,1364931.0,373.0,92.0,998936.0,331.0,61.0
7,uniform,outputs/agents_3/items_5/gpt4o/zero_shot1/output_7.txt,75.0,75.0,75.0,-11.0,48.0,48.0,48.0,-39.0,0.0,-99.0,0.0,-277.0,75.0,75.0,123.0,-327.0,False,243.0,1.0,1539400.0,365.0,94.0,617729.0,327.0,29.0
8,uniform,outputs/agents_3/items_5/gpt4o/zero_shot1/output_8.txt,57.0,57.0,57.0,-26.0,0.0,-96.0,0.0,-246.0,0.0,-35.0,0.0,-85.0,57.0,57.0,57.0,-357.0,False,243.0,1.0,2255608.0,420.0,89.0,1612074.0,394.0,57.0
9,uniform,outputs/agents_3/items_5/gpt4o/zero_shot1/output_9.txt,67.0,67.0,67.0,19.0,0.0,-40.0,0.0,-123.0,0.0,-39.0,0.0,-120.0,67.0,67.0,67.0,-224.0,False,243.0,2.0,1465002.0,364.0,98.0,800280.0,287.0,76.0
10,uniform,outputs/agents_3/items_5/gpt4o/zero_shot1/output_10.txt,80.0,80.0,80.0,51.0,0.0,-120.0,0.0,-245.0,0.0,-36.0,0.0,-160.0,80.0,80.0,80.0,-354.0,False,243.0,0.0,2759589.0,439.0,99.0,2759589.0,439.0,93.0
