Test_Id,Distribution,output_file_path,Agent_1_Max,Agent_1_Max_Unclipped,Agent_1_Sum,Agent_1_Sum_Unclipped,Agent_2_Max,Agent_2_Max_Unclipped,Agent_2_Sum,Agent_2_Sum_Unclipped,Agent_3_Max,Agent_3_Max_Unclipped,Agent_3_Sum,Agent_3_Sum_Unclipped,Agent_4_Max,Agent_4_Max_Unclipped,Agent_4_Sum,Agent_4_Sum_Unclipped,Max_Envies,Max_Envies_Unclipped,Sum_Envies,Sum_Envies_Unclipped,Envy_Freeness,Number_of_Possible_Allocations,Number_of_Envy_Free_Allocations,Max_Nash_Welfare,Max_Utilitarian_Welfare,Max_Egalitarian_Welfare,LLM_Nash_Welfare,LLM_Utilitarian_Welfare,LLM_Egalitarian_Welfare
1,uniform,outputs/agents_4/items_9/gpt4o/zero_shot1/output_1.txt,12.0,12.0,12.0,-460.0,75.0,75.0,83.0,-180.0,0.0,-15.0,0.0,-484.0,162.0,162.0,320.0,320.0,162.0,162.0,415.0,-804.0,False,262144.0,30.0,491163750.0,619.0,135.0,108292464.0,617.0,36.0
2,uniform,outputs/agents_4/items_9/gpt4o/zero_shot1/output_2.txt,21.0,21.0,21.0,-122.0,28.0,28.0,28.0,-218.0,0.0,-120.0,0.0,-465.0,5.0,5.0,5.0,-157.0,28.0,28.0,54.0,-962.0,False,262144.0,69.0,714396464.0,763.0,135.0,490792940.0,682.0,55.0
3,uniform,outputs/agents_4/items_9/gpt4o/zero_shot1/output_3.txt,146.0,146.0,202.0,101.0,0.0,-37.0,0.0,-476.0,92.0,92.0,104.0,-114.0,0.0,-39.0,0.0,-461.0,146.0,146.0,306.0,-950.0,False,262144.0,41.0,1115197200.0,740.0,156.0,601856640.0,735.0,84.0
4,uniform,outputs/agents_4/items_9/gpt4o/zero_shot1/output_4.txt,0.0,-41.0,0.0,-171.0,78.0,78.0,78.0,-228.0,0.0,-49.0,0.0,-194.0,0.0,-110.0,0.0,-400.0,78.0,78.0,78.0,-993.0,False,262144.0,41.0,1115521470.0,750.0,167.0,525632688.0,638.0,84.0
5,uniform,outputs/agents_4/items_9/gpt4o/zero_shot1/output_5.txt,5.0,5.0,5.0,-495.0,134.0,134.0,194.0,101.0,166.0,166.0,178.0,58.0,15.0,15.0,15.0,-491.0,166.0,166.0,392.0,-827.0,False,262144.0,17.0,719785440.0,710.0,153.0,204411536.0,683.0,49.0
6,uniform,outputs/agents_4/items_9/gpt4o/zero_shot1/output_6.txt,0.0,-51.0,0.0,-227.0,4.0,4.0,4.0,-106.0,0.0,-59.0,0.0,-298.0,0.0,-90.0,0.0,-315.0,4.0,4.0,4.0,-946.0,False,262144.0,52.0,685577310.0,659.0,149.0,677027988.0,648.0,146.0
7,uniform,outputs/agents_4/items_9/gpt4o/zero_shot1/output_7.txt,72.0,72.0,72.0,-134.0,0.0,-78.0,0.0,-336.0,0.0,-1.0,0.0,-296.0,0.0,-90.0,0.0,-291.0,72.0,72.0,72.0,-1057.0,False,262144.0,60.0,738645072.0,668.0,140.0,565595712.0,633.0,102.0
8,uniform,outputs/agents_4/items_9/gpt4o/zero_shot1/output_8.txt,18.0,18.0,18.0,-275.0,172.0,172.0,179.0,18.0,0.0,-85.0,0.0,-533.0,19.0,19.0,19.0,-297.0,172.0,172.0,216.0,-1087.0,False,262144.0,46.0,1111226640.0,748.0,160.0,763170020.0,725.0,79.0
9,uniform,outputs/agents_4/items_9/gpt4o/zero_shot1/output_9.txt,0.0,-53.0,0.0,-171.0,0.0,-32.0,0.0,-185.0,1.0,1.0,1.0,-74.0,11.0,11.0,11.0,-64.0,11.0,11.0,12.0,-494.0,False,262144.0,35.0,591807060.0,639.0,145.0,404422545.0,568.0,131.0
10,uniform,outputs/agents_4/items_9/gpt4o/zero_shot1/output_10.txt,114.0,114.0,124.0,87.0,25.0,25.0,25.0,-164.0,73.0,73.0,73.0,-107.0,0.0,-88.0,0.0,-365.0,114.0,114.0,222.0,-549.0,False,262144.0,29.0,918660975.0,712.0,159.0,455329413.0,636.0,77.0
11,uniform,outputs/agents_4/items_9/gpt4o/zero_shot1/output_11.txt,0.0,-7.0,0.0,-141.0,0.0,-10.0,0.0,-178.0,0.0,-43.0,0.0,-192.0,58.0,58.0,58.0,-159.0,58.0,58.0,58.0,-670.0,False,262144.0,59.0,915298020.0,715.0,155.0,499195170.0,601.0,129.0
12,uniform,outputs/agents_4/items_9/gpt4o/zero_shot1/output_12.txt,6.0,6.0,6.0,-227.0,0.0,-42.0,0.0,-257.0,22.0,22.0,22.0,-162.0,0.0,-107.0,0.0,-395.0,22.0,22.0,28.0,-1041.0,False,262144.0,29.0,966210882.0,708.0,159.0,966210882.0,707.0,159.0
13,uniform,outputs/agents_4/items_9/gpt4o/zero_shot1/output_13.txt,49.0,49.0,89.0,-5.0,14.0,14.0,25.0,-28.0,0.0,-17.0,0.0,-112.0,13.0,13.0,13.0,-21.0,49.0,49.0,127.0,-166.0,False,262144.0,51.0,592923960.0,682.0,139.0,121800000.0,436.0,70.0
14,uniform,outputs/agents_4/items_9/gpt4o/zero_shot1/output_14.txt,0.0,-67.0,0.0,-244.0,0.0,-38.0,0.0,-250.0,0.0,-34.0,0.0,-187.0,55.0,55.0,82.0,82.0,55.0,55.0,82.0,-599.0,False,262144.0,57.0,993796428.0,727.0,159.0,593773824.0,628.0,136.0
15,uniform,outputs/agents_4/items_9/gpt4o/zero_shot1/output_15.txt,0.0,-26.0,0.0,-162.0,0.0,-4.0,0.0,-52.0,0.0,-57.0,0.0,-295.0,0.0,-65.0,0.0,-267.0,0.0,-4.0,0.0,-776.0,True,262144.0,54.0,685659240.0,670.0,155.0,500952144.0,600.0,138.0
16,uniform,outputs/agents_4/items_9/gpt4o/zero_shot1/output_16.txt,123.0,123.0,123.0,-317.0,105.0,105.0,105.0,-87.0,0.0,-122.0,0.0,-703.0,294.0,294.0,386.0,287.0,294.0,294.0,614.0,-820.0,False,262144.0,17.0,949822848.0,719.0,161.0,0.0,703.0,0.0
17,uniform,outputs/agents_4/items_9/gpt4o/zero_shot1/output_17.txt,0.0,-15.0,0.0,-102.0,12.0,12.0,12.0,-153.0,0.0,-66.0,0.0,-239.0,0.0,-34.0,0.0,-257.0,12.0,12.0,12.0,-751.0,False,262144.0,36.0,778766016.0,737.0,157.0,520640190.0,617.0,105.0
18,uniform,outputs/agents_4/items_9/gpt4o/zero_shot1/output_18.txt,0.0,-22.0,0.0,-165.0,0.0,-41.0,0.0,-217.0,0.0,-23.0,0.0,-212.0,0.0,-61.0,0.0,-241.0,0.0,-22.0,0.0,-835.0,True,262144.0,55.0,980115792.0,728.0,159.0,615338964.0,638.0,131.0
19,uniform,outputs/agents_4/items_9/gpt4o/zero_shot1/output_19.txt,40.0,40.0,40.0,-76.0,0.0,-53.0,0.0,-318.0,0.0,-71.0,0.0,-332.0,89.0,89.0,155.0,155.0,89.0,89.0,195.0,-571.0,False,262144.0,42.0,817330500.0,717.0,155.0,326361312.0,585.0,83.0
20,uniform,outputs/agents_4/items_9/gpt4o/zero_shot1/output_20.txt,0.0,-12.0,0.0,-164.0,37.0,37.0,37.0,-230.0,0.0,-89.0,0.0,-504.0,0.0,-35.0,0.0,-409.0,37.0,37.0,37.0,-1307.0,False,262144.0,88.0,858709992.0,746.0,150.0,858709992.0,746.0,84.0
21,uniform,outputs/agents_4/items_9/gpt4o/zero_shot1/output_21.txt,34.0,34.0,34.0,-82.0,11.0,11.0,21.0,-69.0,0.0,-109.0,0.0,-508.0,0.0,-32.0,0.0,-242.0,34.0,34.0,55.0,-901.0,False,262144.0,37.0,998051328.0,740.0,172.0,713397048.0,716.0,78.0
22,uniform,outputs/agents_4/items_9/gpt4o/zero_shot1/output_22.txt,0.0,-17.0,0.0,-95.0,80.0,80.0,85.0,54.0,0.0,-28.0,0.0,-191.0,4.0,4.0,4.0,-26.0,80.0,80.0,89.0,-258.0,False,262144.0,22.0,768056652.0,676.0,147.0,303543240.0,541.0,91.0
23,uniform,outputs/agents_4/items_9/gpt4o/zero_shot1/output_23.txt,0.0,-12.0,0.0,-185.0,1.0,1.0,1.0,-186.0,0.0,-19.0,0.0,-128.0,0.0,-10.0,0.0,-114.0,1.0,1.0,1.0,-613.0,False,262144.0,35.0,599213160.0,679.0,140.0,384189120.0,573.0,112.0
24,uniform,outputs/agents_4/items_9/gpt4o/zero_shot1/output_24.txt,88.0,88.0,159.0,17.0,157.0,157.0,209.0,107.0,0.0,-9.0,0.0,-487.0,0.0,-77.0,0.0,-587.0,157.0,157.0,368.0,-950.0,False,262144.0,60.0,733368064.0,683.0,149.0,247401000.0,660.0,42.0
25,uniform,outputs/agents_4/items_9/gpt4o/zero_shot1/output_25.txt,11.0,11.0,11.0,-128.0,31.0,31.0,31.0,-255.0,60.0,60.0,60.0,-176.0,0.0,-22.0,0.0,-243.0,60.0,60.0,102.0,-802.0,False,262144.0,74.0,851800950.0,704.0,153.0,486160290.0,625.0,93.0
26,uniform,outputs/agents_4/items_9/gpt4o/zero_shot1/output_26.txt,0.0,-27.0,0.0,-196.0,0.0,-44.0,0.0,-180.0,0.0,-53.0,0.0,-170.0,58.0,58.0,58.0,-33.0,58.0,58.0,58.0,-579.0,False,262144.0,51.0,686092680.0,690.0,139.0,389767140.0,566.0,126.0
27,uniform,outputs/agents_4/items_9/gpt4o/zero_shot1/output_27.txt,38.0,38.0,75.0,75.0,0.0,-17.0,0.0,-239.0,79.0,79.0,79.0,-184.0,0.0,-57.0,0.0,-300.0,79.0,79.0,154.0,-648.0,False,262144.0,42.0,926694300.0,746.0,157.0,414637008.0,649.0,61.0
28,uniform,outputs/agents_4/items_9/gpt4o/zero_shot1/output_28.txt,2.0,2.0,2.0,-174.0,0.0,-36.0,0.0,-339.0,3.0,3.0,3.0,-213.0,26.0,26.0,28.0,21.0,26.0,26.0,33.0,-705.0,False,262144.0,31.0,999032832.0,723.0,168.0,595580928.0,657.0,118.0
29,uniform,outputs/agents_4/items_9/gpt4o/zero_shot1/output_29.txt,188.0,188.0,209.0,188.0,151.0,151.0,199.0,44.0,0.0,-69.0,0.0,-424.0,7.0,7.0,7.0,-327.0,188.0,188.0,415.0,-519.0,False,262144.0,24.0,910732550.0,713.0,169.0,78510080.0,575.0,17.0
30,uniform,outputs/agents_4/items_9/gpt4o/zero_shot1/output_30.txt,21.0,21.0,21.0,-291.0,0.0,-49.0,0.0,-576.0,0.0,-13.0,0.0,-514.0,82.0,82.0,121.0,20.0,82.0,82.0,142.0,-1361.0,False,262144.0,135.0,661710000.0,695.0,138.0,391608000.0,695.0,74.0
31,uniform,outputs/agents_4/items_9/gpt4o/zero_shot1/output_31.txt,0.0,-172.0,0.0,-705.0,128.0,128.0,167.0,78.0,116.0,116.0,116.0,-128.0,71.0,71.0,71.0,-273.0,128.0,128.0,354.0,-1028.0,False,262144.0,25.0,688197600.0,705.0,151.0,0.0,705.0,0.0
32,uniform,outputs/agents_4/items_9/gpt4o/zero_shot1/output_32.txt,43.0,43.0,43.0,-79.0,38.0,38.0,38.0,-67.0,0.0,-35.0,0.0,-204.0,0.0,-29.0,0.0,-216.0,43.0,43.0,81.0,-566.0,False,262144.0,47.0,840362040.0,701.0,158.0,380052000.0,601.0,69.0
33,uniform,outputs/agents_4/items_9/gpt4o/zero_shot1/output_33.txt,0.0,-9.0,0.0,-132.0,22.0,22.0,22.0,-126.0,0.0,-55.0,0.0,-238.0,31.0,31.0,31.0,-82.0,31.0,31.0,53.0,-578.0,False,262144.0,17.0,1012703040.0,732.0,164.0,614677448.0,632.0,148.0
34,uniform,outputs/agents_4/items_9/gpt4o/zero_shot1/output_34.txt,20.0,20.0,20.0,-38.0,0.0,-31.0,0.0,-263.0,0.0,0.0,0.0,-87.0,0.0,-55.0,0.0,-315.0,20.0,20.0,20.0,-703.0,False,262144.0,49.0,706678400.0,682.0,148.0,272627200.0,544.0,76.0
35,uniform,outputs/agents_4/items_9/gpt4o/zero_shot1/output_35.txt,0.0,-51.0,0.0,-241.0,12.0,12.0,12.0,-151.0,0.0,-3.0,0.0,-222.0,13.0,13.0,14.0,-68.0,13.0,13.0,26.0,-682.0,False,262144.0,47.0,882650496.0,704.0,159.0,585814671.0,626.0,129.0
36,uniform,outputs/agents_4/items_9/gpt4o/zero_shot1/output_36.txt,0.0,-131.0,0.0,-497.0,37.0,37.0,42.0,12.0,0.0,-36.0,0.0,-395.0,0.0,-61.0,0.0,-352.0,37.0,37.0,42.0,-1232.0,False,262144.0,97.0,1080301950.0,728.0,161.0,980731500.0,728.0,131.0
37,uniform,outputs/agents_4/items_9/gpt4o/zero_shot1/output_37.txt,60.0,60.0,60.0,-23.0,30.0,30.0,30.0,-134.0,0.0,-85.0,0.0,-368.0,17.0,17.0,17.0,-92.0,60.0,60.0,107.0,-617.0,False,262144.0,37.0,888313536.0,742.0,148.0,408408000.0,596.0,91.0
38,uniform,outputs/agents_4/items_9/gpt4o/zero_shot1/output_38.txt,70.0,70.0,70.0,-55.0,0.0,-26.0,0.0,-262.0,0.0,-20.0,0.0,-300.0,0.0,-84.0,0.0,-378.0,70.0,70.0,70.0,-995.0,False,262144.0,74.0,1347439296.0,770.0,174.0,926364516.0,700.0,154.0
39,uniform,outputs/agents_4/items_9/gpt4o/zero_shot1/output_39.txt,6.0,6.0,6.0,-96.0,0.0,-18.0,0.0,-200.0,0.0,-86.0,0.0,-371.0,0.0,-12.0,0.0,-233.0,6.0,6.0,6.0,-900.0,False,262144.0,14.0,960104376.0,747.0,167.0,940773625.0,720.0,125.0
40,uniform,outputs/agents_4/items_9/gpt4o/zero_shot1/output_40.txt,0.0,-68.0,0.0,-274.0,28.0,28.0,28.0,-106.0,0.0,-49.0,0.0,-262.0,0.0,-62.0,0.0,-316.0,28.0,28.0,28.0,-958.0,False,262144.0,75.0,1344629088.0,811.0,176.0,675467280.0,651.0,127.0
41,uniform,outputs/agents_4/items_9/gpt4o/zero_shot1/output_41.txt,94.0,94.0,161.0,19.0,0.0,-54.0,0.0,-488.0,0.0,-48.0,0.0,-507.0,44.0,44.0,44.0,-131.0,94.0,94.0,205.0,-1107.0,False,262144.0,91.0,644167404.0,706.0,121.0,409685760.0,686.0,61.0
42,uniform,outputs/agents_4/items_9/gpt4o/zero_shot1/output_42.txt,37.0,37.0,37.0,-243.0,45.0,45.0,45.0,-84.0,0.0,-147.0,0.0,-576.0,0.0,-32.0,0.0,-327.0,45.0,45.0,82.0,-1230.0,False,262144.0,139.0,1078037772.0,746.0,167.0,904996764.0,740.0,93.0
43,uniform,outputs/agents_4/items_9/gpt4o/zero_shot1/output_43.txt,58.0,58.0,58.0,-66.0,24.0,24.0,24.0,-103.0,0.0,-132.0,0.0,-416.0,22.0,22.0,22.0,-83.0,58.0,58.0,104.0,-668.0,False,262144.0,126.0,441351552.0,654.0,125.0,201880392.0,522.0,53.0
44,uniform,outputs/agents_4/items_9/gpt4o/zero_shot1/output_44.txt,0.0,-60.0,0.0,-205.0,0.0,-28.0,0.0,-261.0,7.0,7.0,7.0,-25.0,0.0,-26.0,0.0,-115.0,7.0,7.0,7.0,-606.0,False,262144.0,30.0,1018328220.0,730.0,161.0,496464144.0,605.0,113.0
45,uniform,outputs/agents_4/items_9/gpt4o/zero_shot1/output_45.txt,131.0,131.0,156.0,68.0,10.0,10.0,10.0,-55.0,22.0,22.0,22.0,-143.0,0.0,-71.0,0.0,-282.0,131.0,131.0,188.0,-412.0,False,262144.0,46.0,889610580.0,751.0,154.0,401319688.0,574.0,109.0
46,uniform,outputs/agents_4/items_9/gpt4o/zero_shot1/output_46.txt,0.0,-11.0,0.0,-127.0,19.0,19.0,19.0,-196.0,11.0,11.0,13.0,-43.0,0.0,-68.0,0.0,-235.0,19.0,19.0,32.0,-601.0,False,262144.0,25.0,896227200.0,712.0,164.0,464710400.0,598.0,110.0
47,uniform,outputs/agents_4/items_9/gpt4o/zero_shot1/output_47.txt,0.0,-46.0,0.0,-232.0,0.0,-55.0,0.0,-301.0,0.0,-77.0,0.0,-312.0,0.0,-86.0,0.0,-392.0,0.0,-46.0,0.0,-1237.0,True,262144.0,82.0,961922500.0,740.0,164.0,951482000.0,707.0,146.0
48,uniform,outputs/agents_4/items_9/gpt4o/zero_shot1/output_48.txt,41.0,41.0,41.0,-160.0,0.0,-56.0,0.0,-257.0,0.0,-96.0,0.0,-444.0,0.0,-51.0,0.0,-227.0,41.0,41.0,41.0,-1088.0,False,262144.0,48.0,1048048750.0,733.0,172.0,865431000.0,707.0,120.0
49,uniform,outputs/agents_4/items_9/gpt4o/zero_shot1/output_49.txt,13.0,13.0,13.0,-107.0,0.0,-37.0,0.0,-309.0,0.0,-50.0,0.0,-367.0,0.0,-59.0,0.0,-337.0,13.0,13.0,13.0,-1120.0,False,262144.0,101.0,754956072.0,729.0,153.0,663757452.0,676.0,102.0
50,uniform,outputs/agents_4/items_9/gpt4o/zero_shot1/output_50.txt,0.0,-56.0,0.0,-340.0,10.0,10.0,10.0,-210.0,0.0,-29.0,0.0,-167.0,51.0,51.0,51.0,-139.0,51.0,51.0,61.0,-856.0,False,262144.0,47.0,1165120740.0,766.0,169.0,831758976.0,683.0,144.0
51,uniform,outputs/agents_4/items_9/gpt4o/zero_shot1/output_51.txt,0.0,-12.0,0.0,-151.0,0.0,-3.0,0.0,-139.0,19.0,19.0,25.0,-55.0,0.0,-29.0,0.0,-122.0,19.0,19.0,25.0,-467.0,False,262144.0,14.0,751515600.0,691.0,153.0,523272750.0,611.0,123.0
52,uniform,outputs/agents_4/items_9/gpt4o/zero_shot1/output_52.txt,97.0,97.0,128.0,18.0,0.0,-7.0,0.0,-105.0,0.0,-107.0,0.0,-470.0,0.0,-6.0,0.0,-358.0,97.0,97.0,128.0,-915.0,False,262144.0,12.0,1043578800.0,741.0,163.0,825799360.0,735.0,92.0
53,uniform,outputs/agents_4/items_9/gpt4o/zero_shot1/output_53.txt,0.0,0.0,0.0,-151.0,0.0,-44.0,0.0,-222.0,0.0,-70.0,0.0,-246.0,9.0,9.0,9.0,-71.0,9.0,9.0,9.0,-690.0,False,262144.0,45.0,1296179766.0,787.0,170.0,824942085.0,680.0,155.0
54,uniform,outputs/agents_4/items_9/gpt4o/zero_shot1/output_54.txt,69.0,69.0,69.0,60.0,0.0,-23.0,0.0,-85.0,95.0,95.0,95.0,-87.0,0.0,-39.0,0.0,-234.0,95.0,95.0,164.0,-346.0,False,262144.0,14.0,617330280.0,641.0,148.0,263143680.0,541.0,68.0
55,uniform,outputs/agents_4/items_9/gpt4o/zero_shot1/output_55.txt,17.0,17.0,17.0,-70.0,0.0,-21.0,0.0,-159.0,0.0,-41.0,0.0,-184.0,0.0,-59.0,0.0,-239.0,17.0,17.0,17.0,-652.0,False,262144.0,94.0,328743870.0,578.0,116.0,238630560.0,503.0,105.0
56,uniform,outputs/agents_4/items_9/gpt4o/zero_shot1/output_56.txt,58.0,58.0,116.0,98.0,15.0,15.0,15.0,-140.0,0.0,-21.0,0.0,-214.0,0.0,-62.0,0.0,-277.0,58.0,58.0,131.0,-533.0,False,262144.0,25.0,555128640.0,682.0,133.0,471952320.0,601.0,120.0
57,uniform,outputs/agents_4/items_9/gpt4o/zero_shot1/output_57.txt,40.0,40.0,70.0,59.0,0.0,-4.0,0.0,-254.0,0.0,-50.0,0.0,-301.0,0.0,-74.0,0.0,-304.0,40.0,40.0,70.0,-800.0,False,262144.0,54.0,839499648.0,686.0,159.0,626960412.0,657.0,117.0
58,uniform,outputs/agents_4/items_9/gpt4o/zero_shot1/output_58.txt,0.0,-15.0,0.0,-181.0,0.0,-34.0,0.0,-319.0,0.0,-32.0,0.0,-217.0,0.0,-27.0,0.0,-311.0,0.0,-15.0,0.0,-1028.0,True,262144.0,38.0,574721700.0,644.0,146.0,499662808.0,606.0,116.0
59,uniform,outputs/agents_4/items_9/gpt4o/zero_shot1/output_59.txt,61.0,61.0,61.0,43.0,0.0,-51.0,0.0,-182.0,0.0,-75.0,0.0,-333.0,0.0,-16.0,0.0,-211.0,61.0,61.0,61.0,-683.0,False,262144.0,32.0,586410300.0,658.0,142.0,401346528.0,578.0,101.0
60,uniform,outputs/agents_4/items_9/gpt4o/zero_shot1/output_60.txt,6.0,6.0,7.0,-39.0,0.0,-44.0,0.0,-248.0,0.0,-60.0,0.0,-262.0,26.0,26.0,26.0,-128.0,26.0,26.0,33.0,-677.0,False,262144.0,78.0,840277233.0,739.0,154.0,380036130.0,573.0,109.0
61,uniform,outputs/agents_4/items_9/gpt4o/zero_shot1/output_61.txt,133.0,133.0,133.0,-58.0,49.0,49.0,49.0,-316.0,68.0,68.0,68.0,-51.0,0.0,-89.0,0.0,-510.0,133.0,133.0,250.0,-935.0,False,262144.0,25.0,618815232.0,669.0,139.0,396230016.0,661.0,58.0
62,uniform,outputs/agents_4/items_9/gpt4o/zero_shot1/output_62.txt,105.0,105.0,105.0,-147.0,52.0,52.0,67.0,34.0,0.0,-111.0,0.0,-444.0,0.0,-11.0,0.0,-311.0,105.0,105.0,172.0,-868.0,False,262144.0,38.0,588100920.0,656.0,142.0,350492975.0,634.0,53.0
63,uniform,outputs/agents_4/items_9/gpt4o/zero_shot1/output_63.txt,0.0,-5.0,0.0,-220.0,47.0,47.0,47.0,-186.0,0.0,-57.0,0.0,-244.0,0.0,-44.0,0.0,-204.0,47.0,47.0,47.0,-854.0,False,262144.0,35.0,851867280.0,692.0,153.0,698238144.0,655.0,139.0
64,uniform,outputs/agents_4/items_9/gpt4o/zero_shot1/output_64.txt,14.0,14.0,14.0,-78.0,39.0,39.0,39.0,-41.0,0.0,-73.0,0.0,-245.0,0.0,-75.0,0.0,-250.0,39.0,39.0,53.0,-614.0,False,262144.0,53.0,480461828.0,605.0,127.0,306095625.0,540.0,97.0
65,uniform,outputs/agents_4/items_9/gpt4o/zero_shot1/output_65.txt,0.0,-2.0,0.0,-172.0,57.0,57.0,70.0,-35.0,10.0,10.0,10.0,-101.0,0.0,-21.0,0.0,-271.0,57.0,57.0,80.0,-579.0,False,262144.0,30.0,1207428390.0,758.0,166.0,451652800.0,597.0,100.0
66,uniform,outputs/agents_4/items_9/gpt4o/zero_shot1/output_66.txt,40.0,40.0,40.0,-24.0,90.0,90.0,90.0,-135.0,122.0,122.0,122.0,-8.0,0.0,-86.0,0.0,-427.0,122.0,122.0,252.0,-594.0,False,262144.0,32.0,903260946.0,740.0,159.0,154922922.0,611.0,22.0
67,uniform,outputs/agents_4/items_9/gpt4o/zero_shot1/output_67.txt,0.0,-22.0,0.0,-172.0,8.0,8.0,8.0,-306.0,15.0,15.0,15.0,-208.0,0.0,-45.0,0.0,-274.0,15.0,15.0,23.0,-960.0,False,262144.0,51.0,662977440.0,714.0,133.0,486183456.0,640.0,86.0
68,uniform,outputs/agents_4/items_9/gpt4o/zero_shot1/output_68.txt,0.0,-17.0,0.0,-142.0,0.0,-44.0,0.0,-164.0,20.0,20.0,20.0,-106.0,0.0,-33.0,0.0,-178.0,20.0,20.0,20.0,-590.0,False,262144.0,31.0,735738120.0,684.0,147.0,480794680.0,599.0,122.0
69,uniform,outputs/agents_4/items_9/gpt4o/zero_shot1/output_69.txt,0.0,-98.0,0.0,-492.0,258.0,258.0,258.0,116.0,149.0,149.0,149.0,-197.0,50.0,50.0,50.0,-380.0,258.0,258.0,457.0,-953.0,False,262144.0,88.0,1183029120.0,758.0,175.0,64708560.0,683.0,7.0
70,uniform,outputs/agents_4/items_9/gpt4o/zero_shot1/output_70.txt,0.0,-8.0,0.0,-222.0,0.0,-34.0,0.0,-201.0,0.0,-49.0,0.0,-283.0,6.0,6.0,6.0,-165.0,6.0,6.0,6.0,-871.0,False,262144.0,49.0,1351160576.0,780.0,169.0,946039680.0,705.0,148.0
71,uniform,outputs/agents_4/items_9/gpt4o/zero_shot1/output_71.txt,55.0,55.0,55.0,-263.0,64.0,64.0,122.0,117.0,38.0,38.0,43.0,-100.0,10.0,10.0,10.0,-244.0,64.0,64.0,230.0,-490.0,False,262144.0,62.0,1037821952.0,753.0,163.0,401781600.0,633.0,76.0
72,uniform,outputs/agents_4/items_9/gpt4o/zero_shot1/output_72.txt,0.0,-20.0,0.0,-195.0,0.0,-5.0,0.0,-166.0,0.0,-8.0,0.0,-210.0,0.0,-32.0,0.0,-228.0,0.0,-5.0,0.0,-799.0,True,262144.0,28.0,814565340.0,750.0,145.0,598288400.0,646.0,100.0
73,uniform,outputs/agents_4/items_9/gpt4o/zero_shot1/output_73.txt,0.0,-60.0,0.0,-349.0,52.0,52.0,52.0,-120.0,0.0,-39.0,0.0,-281.0,24.0,24.0,24.0,23.0,52.0,52.0,76.0,-727.0,False,262144.0,19.0,781268949.0,751.0,148.0,542884160.0,632.0,103.0
74,uniform,outputs/agents_4/items_9/gpt4o/zero_shot1/output_74.txt,0.0,-89.0,0.0,-531.0,101.0,101.0,183.0,176.0,0.0,-18.0,0.0,-320.0,23.0,23.0,23.0,-351.0,101.0,101.0,206.0,-1026.0,False,262144.0,33.0,1230362480.0,768.0,169.0,859006720.0,768.0,95.0
75,uniform,outputs/agents_4/items_9/gpt4o/zero_shot1/output_75.txt,0.0,-53.0,0.0,-208.0,27.0,27.0,27.0,-164.0,47.0,47.0,103.0,103.0,0.0,-12.0,0.0,-117.0,47.0,47.0,130.0,-386.0,False,262144.0,18.0,418304304.0,625.0,128.0,274875808.0,522.0,106.0
76,uniform,outputs/agents_4/items_9/gpt4o/zero_shot1/output_76.txt,7.0,7.0,7.0,-134.0,0.0,-10.0,0.0,-150.0,0.0,-67.0,0.0,-358.0,0.0,-49.0,0.0,-297.0,7.0,7.0,7.0,-939.0,False,262144.0,56.0,576972000.0,688.0,145.0,535331808.0,644.0,93.0
77,uniform,outputs/agents_4/items_9/gpt4o/zero_shot1/output_77.txt,0.0,-150.0,0.0,-531.0,115.0,115.0,115.0,-30.0,5.0,5.0,5.0,-272.0,81.0,81.0,81.0,-117.0,115.0,115.0,201.0,-950.0,False,262144.0,62.0,569539440.0,657.0,136.0,162316791.0,622.0,21.0
78,uniform,outputs/agents_4/items_9/gpt4o/zero_shot1/output_78.txt,0.0,-34.0,0.0,-245.0,39.0,39.0,39.0,-113.0,58.0,58.0,76.0,-4.0,0.0,-35.0,0.0,-280.0,58.0,58.0,115.0,-642.0,False,262144.0,33.0,645214464.0,674.0,136.0,309763080.0,588.0,66.0
79,uniform,outputs/agents_4/items_9/gpt4o/zero_shot1/output_79.txt,0.0,-75.0,0.0,-351.0,7.0,7.0,7.0,-158.0,0.0,-76.0,0.0,-338.0,0.0,-62.0,0.0,-332.0,7.0,7.0,7.0,-1179.0,False,262144.0,85.0,1138302024.0,765.0,163.0,921526368.0,698.0,163.0
80,uniform,outputs/agents_4/items_9/gpt4o/zero_shot1/output_80.txt,7.0,7.0,7.0,-188.0,0.0,-77.0,0.0,-279.0,0.0,-13.0,0.0,-99.0,107.0,107.0,107.0,-61.0,107.0,107.0,114.0,-627.0,False,262144.0,61.0,585456768.0,676.0,140.0,354482620.0,570.0,95.0
