Test_Id,Distribution,output_file_path,Agent_1_Max,Agent_1_Max_Unclipped,Agent_1_Sum,Agent_1_Sum_Unclipped,Agent_2_Max,Agent_2_Max_Unclipped,Agent_2_Sum,Agent_2_Sum_Unclipped,Agent_3_Max,Agent_3_Max_Unclipped,Agent_3_Sum,Agent_3_Sum_Unclipped,Agent_4_Max,Agent_4_Max_Unclipped,Agent_4_Sum,Agent_4_Sum_Unclipped,Agent_5_Max,Agent_5_Max_Unclipped,Agent_5_Sum,Agent_5_Sum_Unclipped,Agent_6_Max,Agent_6_Max_Unclipped,Agent_6_Sum,Agent_6_Sum_Unclipped,Max_Envies,Max_Envies_Unclipped,Sum_Envies,Sum_Envies_Unclipped,Envy_Freeness,Number_of_Possible_Allocations,Number_of_Envy_Free_Allocations,Max_Nash_Welfare,Max_Utilitarian_Welfare,Max_Egalitarian_Welfare,LLM_Nash_Welfare,LLM_Utilitarian_Welfare,LLM_Egalitarian_Welfare
1,uniform,outputs/agents_6/items_8/gpt4o/zero_shot4/output_1.txt,101.0,101.0,115.0,24.0,2.0,2.0,2.0,-228.0,56.0,56.0,56.0,-231.0,2.0,2.0,2.0,-237.0,0.0,-11.0,0.0,-308.0,39.0,39.0,39.0,-209.0,101.0,101.0,214.0,-1189.0,False,1679616.0,0.0,1461704525280.0,654.0,87.0,120523536000.0,519.0,14.0
2,uniform,outputs/agents_6/items_8/gpt4o/zero_shot4/output_2.txt,36.0,36.0,67.0,31.0,19.0,19.0,19.0,-285.0,74.0,74.0,168.0,30.0,0.0,-23.0,0.0,-337.0,44.0,44.0,44.0,-218.0,0.0,0.0,0.0,-242.0,74.0,74.0,298.0,-1021.0,False,1679616.0,0.0,636144624000.0,612.0,75.0,155743234920.0,518.0,31.0
3,uniform,outputs/agents_6/items_8/gpt4o/zero_shot4/output_3.txt,155.0,155.0,316.0,-7.0,0.0,0.0,0.0,-727.0,0.0,0.0,0.0,-727.0,0.0,0.0,0.0,-727.0,186.0,186.0,395.0,262.0,170.0,170.0,358.0,-75.0,186.0,186.0,1069.0,-2001.0,False,1679616.0,0.0,1796250193920.0,727.0,90.0,0.0,727.0,0.0
4,uniform,outputs/agents_6/items_8/gpt4o/zero_shot4/output_4.txt,48.0,48.0,56.0,-39.0,59.0,59.0,110.0,23.0,18.0,18.0,25.0,-206.0,1.0,1.0,1.0,-352.0,0.0,-21.0,0.0,-291.0,0.0,-36.0,0.0,-413.0,59.0,59.0,192.0,-1278.0,False,1679616.0,0.0,1445094050400.0,707.0,88.0,947095367400.0,626.0,75.0
5,uniform,outputs/agents_6/items_8/gpt4o/zero_shot4/output_5.txt,121.0,121.0,313.0,313.0,115.0,115.0,243.0,165.0,98.0,98.0,150.0,-99.0,29.0,29.0,44.0,-182.0,71.0,71.0,71.0,-317.0,25.0,25.0,25.0,-293.0,121.0,121.0,846.0,-413.0,False,1679616.0,0.0,1835934085440.0,724.0,91.0,0.0,510.0,0.0
6,uniform,outputs/agents_6/items_8/gpt4o/zero_shot4/output_6.txt,0.0,-19.0,0.0,-408.0,0.0,-14.0,0.0,-386.0,92.0,92.0,155.0,53.0,0.0,-32.0,0.0,-416.0,0.0,-16.0,0.0,-349.0,78.0,78.0,78.0,-127.0,92.0,92.0,233.0,-1633.0,False,1679616.0,0.0,2384368176960.0,728.0,96.0,1754518993920.0,702.0,64.0
7,uniform,outputs/agents_6/items_8/gpt4o/zero_shot4/output_7.txt,80.0,80.0,121.0,53.0,0.0,-36.0,0.0,-379.0,0.0,-56.0,0.0,-462.0,0.0,-1.0,0.0,-318.0,0.0,-12.0,0.0,-284.0,69.0,69.0,128.0,-4.0,80.0,80.0,249.0,-1394.0,False,1679616.0,0.0,1746662400000.0,737.0,94.0,1234426234050.0,663.0,67.0
8,uniform,outputs/agents_6/items_8/gpt4o/zero_shot4/output_8.txt,57.0,57.0,104.0,54.0,34.0,34.0,56.0,-77.0,0.0,-37.0,0.0,-420.0,1.0,1.0,1.0,-214.0,11.0,11.0,16.0,-216.0,0.0,-28.0,0.0,-328.0,57.0,57.0,177.0,-1201.0,False,1679616.0,0.0,732749391360.0,671.0,84.0,310351143200.0,591.0,34.0
9,uniform,outputs/agents_6/items_8/gpt4o/zero_shot4/output_9.txt,12.0,12.0,12.0,-293.0,68.0,68.0,68.0,-326.0,37.0,37.0,37.0,-377.0,147.0,147.0,234.0,204.0,54.0,54.0,54.0,-376.0,0.0,-94.0,0.0,-668.0,147.0,147.0,405.0,-1836.0,False,1679616.0,0.0,1326080889000.0,676.0,80.0,0.0,668.0,0.0
10,uniform,outputs/agents_6/items_8/gpt4o/zero_shot4/output_10.txt,57.0,57.0,57.0,-325.0,131.0,131.0,325.0,239.0,91.0,91.0,142.0,-216.0,55.0,55.0,110.0,-19.0,0.0,-14.0,0.0,-601.0,55.0,55.0,74.0,-302.0,131.0,131.0,708.0,-1224.0,False,1679616.0,0.0,987509909022.0,690.0,77.0,0.0,601.0,0.0
11,uniform,outputs/agents_6/items_8/gpt4o/zero_shot4/output_11.txt,10.0,10.0,10.0,-415.0,131.0,131.0,308.0,285.0,0.0,-6.0,0.0,-301.0,0.0,-8.0,0.0,-316.0,0.0,-15.0,0.0,-392.0,13.0,13.0,13.0,-375.0,131.0,131.0,331.0,-1514.0,False,1679616.0,0.0,1045893948480.0,678.0,79.0,570324307968.0,641.0,67.0
12,uniform,outputs/agents_6/items_8/gpt4o/zero_shot4/output_12.txt,32.0,32.0,63.0,47.0,0.0,-14.0,0.0,-354.0,0.0,-29.0,0.0,-355.0,20.0,20.0,20.0,-306.0,0.0,-17.0,0.0,-413.0,9.0,9.0,9.0,-138.0,32.0,32.0,92.0,-1519.0,False,1679616.0,0.0,959162100000.0,615.0,84.0,720707520000.0,605.0,64.0
