Test_Id,Distribution,output_file_path,Agent_1_Max,Agent_1_Max_Unclipped,Agent_1_Sum,Agent_1_Sum_Unclipped,Agent_2_Max,Agent_2_Max_Unclipped,Agent_2_Sum,Agent_2_Sum_Unclipped,Agent_3_Max,Agent_3_Max_Unclipped,Agent_3_Sum,Agent_3_Sum_Unclipped,Agent_4_Max,Agent_4_Max_Unclipped,Agent_4_Sum,Agent_4_Sum_Unclipped,Agent_5_Max,Agent_5_Max_Unclipped,Agent_5_Sum,Agent_5_Sum_Unclipped,Agent_6_Max,Agent_6_Max_Unclipped,Agent_6_Sum,Agent_6_Sum_Unclipped,Max_Envies,Max_Envies_Unclipped,Sum_Envies,Sum_Envies_Unclipped,Envy_Freeness
1,uniform,outputs/agents_6/items_9/gpt4o/zero_shot4/output_1.txt,39.0,39.0,67.0,3.0,58.0,58.0,142.0,119.0,0.0,0.0,0.0,-309.0,0.0,-34.0,0.0,-367.0,0.0,-41.0,0.0,-371.0,0.0,-8.0,0.0,-291.0,58.0,58.0,209.0,-1216.0,False
2,uniform,outputs/agents_6/items_9/gpt4o/zero_shot4/output_2.txt,35.0,35.0,62.0,-19.0,0.0,-17.0,0.0,-422.0,0.0,-10.0,0.0,-382.0,0.0,-59.0,0.0,-507.0,0.0,-15.0,0.0,-325.0,96.0,96.0,301.0,253.0,96.0,96.0,363.0,-1402.0,False
3,uniform,outputs/agents_6/items_9/gpt4o/zero_shot4/output_3.txt,0.0,-18.0,0.0,-245.0,34.0,34.0,34.0,-242.0,0.0,-1.0,0.0,-258.0,24.0,24.0,24.0,-186.0,56.0,56.0,61.0,-97.0,146.0,146.0,274.0,211.0,146.0,146.0,393.0,-817.0,False
4,uniform,outputs/agents_6/items_9/gpt4o/zero_shot4/output_4.txt,26.0,26.0,26.0,-126.0,56.0,56.0,56.0,-131.0,0.0,-70.0,0.0,-581.0,0.0,-37.0,0.0,-395.0,0.0,-18.0,0.0,-221.0,0.0,-38.0,0.0,-520.0,56.0,56.0,82.0,-1974.0,False
5,uniform,outputs/agents_6/items_9/gpt4o/zero_shot4/output_5.txt,96.0,96.0,123.0,24.0,54.0,54.0,54.0,-299.0,0.0,-4.0,0.0,-434.0,92.0,92.0,152.0,47.0,7.0,7.0,7.0,-194.0,0.0,-19.0,0.0,-400.0,96.0,96.0,336.0,-1256.0,False
6,uniform,outputs/agents_6/items_9/gpt4o/zero_shot4/output_6.txt,63.0,63.0,113.0,-8.0,78.0,78.0,150.0,29.0,0.0,0.0,0.0,-557.0,45.0,45.0,117.0,-109.0,0.0,0.0,0.0,-557.0,116.0,116.0,297.0,208.0,116.0,116.0,677.0,-994.0,False
7,uniform,outputs/agents_6/items_9/gpt4o/zero_shot4/output_7.txt,65.0,65.0,72.0,-156.0,0.0,-7.0,0.0,-341.0,23.0,23.0,23.0,-414.0,0.0,-48.0,0.0,-524.0,0.0,-6.0,0.0,-432.0,69.0,69.0,127.0,56.0,69.0,69.0,222.0,-1811.0,False
8,uniform,outputs/agents_6/items_9/gpt4o/zero_shot4/output_8.txt,78.0,78.0,78.0,-86.0,67.0,67.0,119.0,-35.0,4.0,4.0,4.0,-324.0,0.0,-3.0,0.0,-299.0,36.0,36.0,41.0,-129.0,0.0,-33.0,0.0,-296.0,78.0,78.0,242.0,-1169.0,False
9,uniform,outputs/agents_6/items_9/gpt4o/zero_shot4/output_9.txt,1.0,1.0,1.0,-517.0,50.0,50.0,55.0,-125.0,20.0,20.0,20.0,-345.0,0.0,-38.0,0.0,-579.0,130.0,130.0,137.0,68.0,3.0,3.0,3.0,-316.0,130.0,130.0,216.0,-1814.0,False
10,uniform,outputs/agents_6/items_9/gpt4o/zero_shot4/output_10.txt,0.0,-45.0,0.0,-486.0,16.0,16.0,28.0,-188.0,124.0,124.0,202.0,127.0,0.0,-5.0,0.0,-299.0,11.0,11.0,11.0,-252.0,36.0,36.0,54.0,-43.0,124.0,124.0,295.0,-1141.0,False
11,uniform,outputs/agents_6/items_9/gpt4o/zero_shot4/output_11.txt,104.0,104.0,128.0,-142.0,15.0,15.0,15.0,-449.0,55.0,55.0,55.0,-390.0,177.0,177.0,241.0,5.0,0.0,-32.0,0.0,-562.0,65.0,65.0,65.0,-196.0,177.0,177.0,504.0,-1734.0,False
12,uniform,outputs/agents_6/items_9/gpt4o/zero_shot4/output_12.txt,86.0,86.0,252.0,218.0,39.0,39.0,39.0,-200.0,0.0,-18.0,0.0,-467.0,39.0,39.0,71.0,-59.0,0.0,0.0,0.0,-372.0,0.0,-33.0,0.0,-425.0,86.0,86.0,362.0,-1305.0,False
13,uniform,outputs/agents_6/items_9/gpt4o/zero_shot4/output_13.txt,5.0,5.0,5.0,-285.0,14.0,14.0,20.0,-190.0,48.0,48.0,63.0,0.0,0.0,-29.0,0.0,-369.0,0.0,-11.0,0.0,-340.0,61.0,61.0,63.0,-52.0,61.0,61.0,151.0,-1236.0,False
14,uniform,outputs/agents_6/items_9/gpt4o/zero_shot4/output_14.txt,97.0,97.0,158.0,34.0,96.0,96.0,96.0,-114.0,0.0,-3.0,0.0,-317.0,31.0,31.0,46.0,-70.0,14.0,14.0,14.0,-316.0,0.0,-8.0,0.0,-245.0,97.0,97.0,314.0,-1028.0,False
15,uniform,outputs/agents_6/items_9/gpt4o/zero_shot4/output_15.txt,77.0,77.0,77.0,-155.0,0.0,-4.0,0.0,-349.0,0.0,-54.0,0.0,-360.0,90.0,90.0,106.0,2.0,0.0,-19.0,0.0,-293.0,10.0,10.0,18.0,-232.0,90.0,90.0,201.0,-1387.0,False
16,uniform,outputs/agents_6/items_9/gpt4o/zero_shot4/output_16.txt,52.0,52.0,89.0,32.0,17.0,17.0,26.0,-49.0,12.0,12.0,20.0,-197.0,8.0,8.0,14.0,-33.0,0.0,-6.0,0.0,-224.0,0.0,-7.0,0.0,-173.0,52.0,52.0,149.0,-644.0,False
17,uniform,outputs/agents_6/items_9/gpt4o/zero_shot4/output_17.txt,50.0,50.0,122.0,83.0,73.0,73.0,139.0,20.0,23.0,23.0,23.0,-318.0,0.0,-19.0,0.0,-186.0,0.0,-16.0,0.0,-404.0,0.0,-27.0,0.0,-409.0,73.0,73.0,284.0,-1214.0,False
18,uniform,outputs/agents_6/items_9/gpt4o/zero_shot4/output_18.txt,0.0,-16.0,0.0,-417.0,0.0,-45.0,0.0,-471.0,88.0,88.0,213.0,201.0,38.0,38.0,73.0,-138.0,0.0,-16.0,0.0,-522.0,0.0,-6.0,0.0,-448.0,88.0,88.0,286.0,-1795.0,False
19,uniform,outputs/agents_6/items_9/gpt4o/zero_shot4/output_19.txt,37.0,37.0,58.0,-16.0,10.0,10.0,10.0,-409.0,64.0,64.0,80.0,-114.0,59.0,59.0,59.0,-133.0,0.0,-36.0,0.0,-404.0,3.0,3.0,3.0,-308.0,64.0,64.0,210.0,-1384.0,False
20,uniform,outputs/agents_6/items_9/gpt4o/zero_shot4/output_20.txt,67.0,67.0,85.0,-79.0,5.0,5.0,5.0,-390.0,113.0,113.0,113.0,-12.0,44.0,44.0,53.0,-71.0,0.0,-33.0,0.0,-380.0,20.0,20.0,20.0,-370.0,113.0,113.0,276.0,-1302.0,False
21,uniform,outputs/agents_6/items_9/gpt4o/zero_shot4/output_21.txt,31.0,31.0,32.0,-96.0,0.0,-1.0,0.0,-341.0,0.0,-32.0,0.0,-336.0,0.0,-6.0,0.0,-249.0,0.0,-24.0,0.0,-401.0,66.0,66.0,127.0,124.0,66.0,66.0,159.0,-1299.0,False
22,uniform,outputs/agents_6/items_9/gpt4o/zero_shot4/output_22.txt,42.0,42.0,80.0,-221.0,28.0,28.0,28.0,-373.0,28.0,28.0,45.0,-7.0,0.0,-37.0,0.0,-423.0,40.0,40.0,69.0,-56.0,2.0,2.0,2.0,-345.0,42.0,42.0,224.0,-1425.0,False
23,uniform,outputs/agents_6/items_9/gpt4o/zero_shot4/output_23.txt,155.0,155.0,204.0,81.0,66.0,66.0,175.0,21.0,53.0,53.0,53.0,-402.0,95.0,95.0,95.0,-483.0,0.0,-88.0,0.0,-762.0,84.0,84.0,90.0,-174.0,155.0,155.0,617.0,-1719.0,False
24,uniform,outputs/agents_6/items_9/gpt4o/zero_shot4/output_24.txt,62.0,62.0,171.0,171.0,0.0,-8.0,0.0,-208.0,5.0,5.0,5.0,-311.0,47.0,47.0,100.0,46.0,0.0,-6.0,0.0,-305.0,38.0,38.0,56.0,-53.0,62.0,62.0,332.0,-660.0,False
25,uniform,outputs/agents_6/items_9/gpt4o/zero_shot4/output_25.txt,0.0,-97.0,0.0,-750.0,54.0,54.0,58.0,-155.0,62.0,62.0,107.0,-130.0,60.0,60.0,76.0,-110.0,68.0,68.0,68.0,-379.0,48.0,48.0,48.0,-269.0,68.0,68.0,357.0,-1793.0,False
