Test_Id,Distribution,output_file_path,Agent_1_Max,Agent_1_Max_Unclipped,Agent_1_Sum,Agent_1_Sum_Unclipped,Agent_2_Max,Agent_2_Max_Unclipped,Agent_2_Sum,Agent_2_Sum_Unclipped,Agent_3_Max,Agent_3_Max_Unclipped,Agent_3_Sum,Agent_3_Sum_Unclipped,Agent_4_Max,Agent_4_Max_Unclipped,Agent_4_Sum,Agent_4_Sum_Unclipped,Agent_5_Max,Agent_5_Max_Unclipped,Agent_5_Sum,Agent_5_Sum_Unclipped,Agent_6_Max,Agent_6_Max_Unclipped,Agent_6_Sum,Agent_6_Sum_Unclipped,Agent_7_Max,Agent_7_Max_Unclipped,Agent_7_Sum,Agent_7_Sum_Unclipped,Max_Envies,Max_Envies_Unclipped,Sum_Envies,Sum_Envies_Unclipped,Envy_Freeness,Number_of_Possible_Allocations,Number_of_Envy_Free_Allocations,Max_Nash_Welfare,Max_Utilitarian_Welfare,Max_Egalitarian_Welfare,LLM_Nash_Welfare,LLM_Utilitarian_Welfare,LLM_Egalitarian_Welfare
1,uniform,outputs/agents_7/items_8/gpt4o/zero_shot5/output_1.txt,42.0,42.0,82.0,30.0,28.0,28.0,28.0,-355.0,0.0,-14.0,0.0,-287.0,0.0,-35.0,0.0,-405.0,0.0,-11.0,0.0,-285.0,0.0,-9.0,0.0,-331.0,31.0,31.0,31.0,-199.0,42.0,42.0,141.0,-1832.0,False,5764801.0,0.0,59332261945320.0,703.0,78.0,40079798131296.0,659.0,47.0
2,uniform,outputs/agents_7/items_8/gpt4o/zero_shot5/output_2.txt,112.0,112.0,295.0,295.0,53.0,53.0,59.0,-173.0,93.0,93.0,93.0,-113.0,83.0,83.0,83.0,-165.0,72.0,72.0,72.0,-304.0,3.0,3.0,3.0,-283.0,0.0,-23.0,0.0,-316.0,112.0,112.0,605.0,-1059.0,False,5764801.0,0.0,63969438369024.0,704.0,83.0,885165120000.0,614.0,1.0
3,uniform,outputs/agents_7/items_8/gpt4o/zero_shot5/output_3.txt,67.0,67.0,67.0,-399.0,17.0,17.0,17.0,-286.0,36.0,36.0,41.0,-189.0,38.0,38.0,38.0,-300.0,80.0,80.0,80.0,-181.0,0.0,-88.0,0.0,-635.0,83.0,83.0,160.0,99.0,83.0,83.0,403.0,-1891.0,False,5764801.0,0.0,67809583512000.0,707.0,87.0,0.0,635.0,0.0
4,uniform,outputs/agents_7/items_8/gpt4o/zero_shot5/output_4.txt,62.0,62.0,122.0,-293.0,92.0,92.0,162.0,25.0,94.0,94.0,182.0,-40.0,127.0,127.0,280.0,96.0,56.0,56.0,91.0,-310.0,0.0,0.0,0.0,-668.0,0.0,0.0,0.0,-668.0,127.0,127.0,837.0,-1858.0,False,5764801.0,1.0,51739763523552.0,674.0,78.0,0.0,668.0,0.0
5,uniform,outputs/agents_7/items_8/gpt4o/zero_shot5/output_5.txt,10.0,10.0,10.0,-378.0,0.0,-13.0,0.0,-371.0,0.0,-7.0,0.0,-236.0,24.0,24.0,24.0,-128.0,0.0,-1.0,0.0,-323.0,0.0,-11.0,0.0,-180.0,0.0,-41.0,0.0,-420.0,24.0,24.0,34.0,-2036.0,False,5764801.0,0.0,64077840288000.0,700.0,73.0,64077840288000.0,663.0,70.0
6,uniform,outputs/agents_7/items_8/gpt4o/zero_shot5/output_6.txt,5.0,5.0,5.0,-245.0,0.0,-18.0,0.0,-258.0,0.0,-8.0,0.0,-283.0,9.0,9.0,9.0,-200.0,36.0,36.0,36.0,-63.0,0.0,0.0,0.0,-279.0,0.0,-30.0,0.0,-265.0,36.0,36.0,50.0,-1593.0,False,5764801.0,0.0,48429589824000.0,703.0,75.0,32748570624000.0,612.0,55.0
7,uniform,outputs/agents_7/items_8/gpt4o/zero_shot5/output_7.txt,71.0,71.0,182.0,168.0,98.0,98.0,208.0,48.0,8.0,8.0,12.0,-346.0,73.0,73.0,86.0,-285.0,52.0,52.0,52.0,-253.0,34.0,34.0,34.0,-404.0,0.0,-37.0,0.0,-578.0,98.0,98.0,574.0,-1650.0,False,5764801.0,0.0,34140786048180.0,682.0,73.0,0.0,578.0,0.0
8,uniform,outputs/agents_7/items_8/gpt4o/zero_shot5/output_8.txt,4.0,4.0,8.0,-99.0,0.0,-56.0,0.0,-430.0,0.0,-5.0,0.0,-263.0,0.0,-15.0,0.0,-295.0,0.0,-9.0,0.0,-194.0,28.0,28.0,99.0,92.0,0.0,-6.0,0.0,-235.0,28.0,28.0,107.0,-1424.0,False,5764801.0,0.0,78975823762836.0,722.0,86.0,58269042792576.0,652.0,77.0
9,uniform,outputs/agents_7/items_8/gpt4o/zero_shot5/output_9.txt,101.0,101.0,204.0,204.0,40.0,40.0,55.0,-170.0,0.0,-28.0,0.0,-437.0,26.0,26.0,26.0,-328.0,0.0,-12.0,0.0,-302.0,6.0,6.0,6.0,-272.0,0.0,-25.0,0.0,-385.0,101.0,101.0,291.0,-1690.0,False,5764801.0,0.0,31564819202280.0,671.0,72.0,20977953731280.0,616.0,49.0
10,uniform,outputs/agents_7/items_8/gpt4o/zero_shot5/output_10.txt,0.0,0.0,0.0,-745.0,134.0,134.0,264.0,-39.0,0.0,0.0,0.0,-745.0,160.0,160.0,391.0,131.0,169.0,169.0,523.0,376.0,63.0,63.0,128.0,-289.0,0.0,0.0,0.0,-745.0,169.0,169.0,1306.0,-2056.0,False,5764801.0,0.0,86317405574400.0,745.0,89.0,0.0,745.0,0.0
