Test_Id,Distribution,output_file_path,Agent_1_Max,Agent_1_Max_Unclipped,Agent_1_Sum,Agent_1_Sum_Unclipped,Agent_2_Max,Agent_2_Max_Unclipped,Agent_2_Sum,Agent_2_Sum_Unclipped,Agent_3_Max,Agent_3_Max_Unclipped,Agent_3_Sum,Agent_3_Sum_Unclipped,Agent_4_Max,Agent_4_Max_Unclipped,Agent_4_Sum,Agent_4_Sum_Unclipped,Agent_5_Max,Agent_5_Max_Unclipped,Agent_5_Sum,Agent_5_Sum_Unclipped,Agent_6_Max,Agent_6_Max_Unclipped,Agent_6_Sum,Agent_6_Sum_Unclipped,Agent_7_Max,Agent_7_Max_Unclipped,Agent_7_Sum,Agent_7_Sum_Unclipped,Max_Envies,Max_Envies_Unclipped,Sum_Envies,Sum_Envies_Unclipped,Envy_Freeness
1,uniform,outputs/agents_7/items_9/gpt4o/zero_shot5/output_1.txt,95.0,95.0,191.0,149.0,0.0,-15.0,0.0,-445.0,0.0,-5.0,0.0,-431.0,22.0,22.0,22.0,-366.0,13.0,13.0,13.0,-365.0,0.0,-2.0,0.0,-342.0,47.0,47.0,66.0,-171.0,95.0,95.0,292.0,-1971.0,False
2,uniform,outputs/agents_7/items_9/gpt4o/zero_shot5/output_2.txt,0.0,0.0,0.0,-731.0,124.0,124.0,154.0,-52.0,0.0,0.0,0.0,-731.0,84.0,84.0,249.0,92.0,55.0,55.0,77.0,-502.0,70.0,70.0,108.0,-409.0,105.0,105.0,204.0,-16.0,124.0,124.0,792.0,-2349.0,False
3,uniform,outputs/agents_7/items_9/gpt4o/zero_shot5/output_3.txt,0.0,-24.0,0.0,-434.0,0.0,-2.0,0.0,-230.0,0.0,-12.0,0.0,-417.0,0.0,-21.0,0.0,-320.0,0.0,-20.0,0.0,-389.0,0.0,-2.0,0.0,-379.0,6.0,6.0,6.0,-221.0,6.0,6.0,6.0,-2390.0,False
4,uniform,outputs/agents_7/items_9/gpt4o/zero_shot5/output_4.txt,101.0,101.0,266.0,206.0,36.0,36.0,119.0,-9.0,87.0,87.0,118.0,-201.0,75.0,75.0,75.0,-107.0,28.0,28.0,34.0,-307.0,0.0,-31.0,0.0,-504.0,62.0,62.0,62.0,-298.0,101.0,101.0,674.0,-1220.0,False
5,uniform,outputs/agents_7/items_9/gpt4o/zero_shot5/output_5.txt,119.0,119.0,196.0,121.0,147.0,147.0,213.0,149.0,31.0,31.0,50.0,-203.0,3.0,3.0,3.0,-356.0,63.0,63.0,63.0,-286.0,33.0,33.0,33.0,-222.0,0.0,-62.0,0.0,-575.0,147.0,147.0,558.0,-1372.0,False
6,uniform,outputs/agents_7/items_9/gpt4o/zero_shot5/output_6.txt,36.0,36.0,58.0,-145.0,0.0,-22.0,0.0,-404.0,43.0,43.0,58.0,-225.0,12.0,12.0,12.0,-385.0,70.0,70.0,129.0,19.0,30.0,30.0,35.0,-244.0,0.0,-17.0,0.0,-345.0,70.0,70.0,292.0,-1729.0,False
7,uniform,outputs/agents_7/items_9/gpt4o/zero_shot5/output_7.txt,2.0,2.0,2.0,-262.0,49.0,49.0,50.0,-183.0,35.0,35.0,35.0,-318.0,17.0,17.0,17.0,-188.0,43.0,43.0,67.0,-83.0,39.0,39.0,39.0,-228.0,74.0,74.0,74.0,-136.0,74.0,74.0,284.0,-1398.0,False
8,uniform,outputs/agents_7/items_9/gpt4o/zero_shot5/output_8.txt,54.0,54.0,88.0,-234.0,89.0,89.0,117.0,-141.0,70.0,70.0,149.0,-8.0,25.0,25.0,29.0,-283.0,10.0,10.0,10.0,-195.0,118.0,118.0,215.0,200.0,28.0,28.0,31.0,-259.0,118.0,118.0,639.0,-920.0,False
9,uniform,outputs/agents_7/items_9/gpt4o/zero_shot5/output_9.txt,183.0,183.0,393.0,249.0,151.0,151.0,446.0,381.0,98.0,98.0,160.0,-58.0,123.0,123.0,231.0,94.0,157.0,157.0,285.0,-63.0,0.0,0.0,0.0,-590.0,0.0,0.0,0.0,-590.0,183.0,183.0,1515.0,-577.0,False
10,uniform,outputs/agents_7/items_9/gpt4o/zero_shot5/output_10.txt,55.0,55.0,93.0,-19.0,38.0,38.0,62.0,-114.0,57.0,57.0,57.0,-339.0,35.0,35.0,35.0,-367.0,27.0,27.0,27.0,-302.0,0.0,-17.0,0.0,-337.0,0.0,-3.0,0.0,-374.0,57.0,57.0,274.0,-1852.0,False
11,uniform,outputs/agents_7/items_9/gpt4o/zero_shot5/output_11.txt,114.0,114.0,182.0,52.0,12.0,12.0,12.0,-444.0,0.0,-33.0,0.0,-432.0,0.0,-11.0,0.0,-372.0,26.0,26.0,26.0,-319.0,42.0,42.0,50.0,-74.0,3.0,3.0,3.0,-334.0,114.0,114.0,273.0,-1923.0,False
12,uniform,outputs/agents_7/items_9/gpt4o/zero_shot5/output_12.txt,135.0,135.0,325.0,291.0,90.0,90.0,162.0,32.0,65.0,65.0,65.0,-323.0,91.0,91.0,97.0,-253.0,25.0,25.0,25.0,-388.0,0.0,-86.0,0.0,-714.0,9.0,9.0,9.0,-296.0,135.0,135.0,683.0,-1651.0,False
13,uniform,outputs/agents_7/items_9/gpt4o/zero_shot5/output_13.txt,73.0,73.0,213.0,125.0,63.0,63.0,122.0,-183.0,56.0,56.0,94.0,-67.0,65.0,65.0,78.0,-98.0,72.0,72.0,150.0,-80.0,1.0,1.0,1.0,-309.0,0.0,-3.0,0.0,-320.0,73.0,73.0,658.0,-932.0,False
14,uniform,outputs/agents_7/items_9/gpt4o/zero_shot5/output_14.txt,110.0,110.0,266.0,239.0,81.0,81.0,189.0,112.0,23.0,23.0,23.0,-274.0,39.0,39.0,39.0,-285.0,41.0,41.0,64.0,-286.0,30.0,30.0,31.0,-322.0,38.0,38.0,38.0,-348.0,110.0,110.0,650.0,-1164.0,False
15,uniform,outputs/agents_7/items_9/gpt4o/zero_shot5/output_15.txt,69.0,69.0,113.0,-28.0,8.0,8.0,8.0,-358.0,70.0,70.0,214.0,64.0,43.0,43.0,43.0,-350.0,0.0,-16.0,0.0,-546.0,0.0,-19.0,0.0,-420.0,0.0,-8.0,0.0,-455.0,70.0,70.0,378.0,-2093.0,False
16,uniform,outputs/agents_7/items_9/gpt4o/zero_shot5/output_16.txt,257.0,257.0,596.0,537.0,66.0,66.0,79.0,-456.0,0.0,0.0,0.0,-801.0,76.0,76.0,127.0,-512.0,68.0,68.0,131.0,-399.0,123.0,123.0,234.0,-38.0,0.0,0.0,0.0,-801.0,257.0,257.0,1167.0,-2470.0,False
17,uniform,outputs/agents_7/items_9/gpt4o/zero_shot5/output_17.txt,40.0,40.0,40.0,-366.0,45.0,45.0,102.0,20.0,26.0,26.0,80.0,18.0,0.0,-4.0,0.0,-346.0,0.0,-1.0,0.0,-277.0,2.0,2.0,2.0,-413.0,0.0,-2.0,0.0,-312.0,45.0,45.0,224.0,-1676.0,False
18,uniform,outputs/agents_7/items_9/gpt4o/zero_shot5/output_18.txt,0.0,-20.0,0.0,-447.0,10.0,10.0,10.0,-234.0,3.0,3.0,3.0,-326.0,26.0,26.0,26.0,-394.0,0.0,-6.0,0.0,-408.0,0.0,-31.0,0.0,-471.0,72.0,72.0,185.0,88.0,72.0,72.0,224.0,-2192.0,False
19,uniform,outputs/agents_7/items_9/gpt4o/zero_shot5/output_19.txt,88.0,88.0,279.0,234.0,20.0,20.0,26.0,-289.0,34.0,34.0,51.0,-271.0,0.0,-5.0,0.0,-359.0,0.0,-8.0,0.0,-280.0,15.0,15.0,15.0,-241.0,0.0,-3.0,0.0,-255.0,88.0,88.0,371.0,-1461.0,False
20,uniform,outputs/agents_7/items_9/gpt4o/zero_shot5/output_20.txt,0.0,0.0,0.0,-758.0,115.0,115.0,263.0,-80.0,63.0,63.0,131.0,-265.0,89.0,89.0,162.0,-304.0,0.0,0.0,0.0,-758.0,274.0,274.0,1016.0,1016.0,0.0,0.0,0.0,-758.0,274.0,274.0,1572.0,-1907.0,False
21,uniform,outputs/agents_7/items_9/gpt4o/zero_shot5/output_21.txt,84.0,84.0,113.0,-156.0,85.0,85.0,85.0,-269.0,65.0,65.0,65.0,-281.0,89.0,89.0,92.0,-247.0,55.0,55.0,58.0,-137.0,15.0,15.0,15.0,-408.0,109.0,109.0,254.0,254.0,109.0,109.0,682.0,-1244.0,False
22,uniform,outputs/agents_7/items_9/gpt4o/zero_shot5/output_22.txt,81.0,81.0,122.0,-9.0,20.0,20.0,26.0,-95.0,15.0,15.0,23.0,-124.0,40.0,40.0,68.0,-84.0,89.0,89.0,184.0,135.0,0.0,-10.0,0.0,-183.0,0.0,-33.0,0.0,-297.0,89.0,89.0,423.0,-657.0,False
23,uniform,outputs/agents_7/items_9/gpt4o/zero_shot5/output_23.txt,7.0,7.0,7.0,-137.0,9.0,9.0,9.0,-115.0,0.0,-6.0,0.0,-151.0,3.0,3.0,3.0,-255.0,0.0,-8.0,0.0,-294.0,0.0,-9.0,0.0,-208.0,0.0,-18.0,0.0,-275.0,9.0,9.0,19.0,-1435.0,False
24,uniform,outputs/agents_7/items_9/gpt4o/zero_shot5/output_24.txt,5.0,5.0,5.0,-347.0,0.0,-19.0,0.0,-363.0,0.0,-1.0,0.0,-288.0,0.0,-5.0,0.0,-328.0,40.0,40.0,64.0,37.0,17.0,17.0,19.0,-189.0,7.0,7.0,7.0,-434.0,40.0,40.0,95.0,-1912.0,False
25,uniform,outputs/agents_7/items_9/gpt4o/zero_shot5/output_25.txt,88.0,88.0,165.0,12.0,21.0,21.0,40.0,-197.0,0.0,-23.0,0.0,-383.0,0.0,0.0,0.0,-291.0,0.0,-39.0,0.0,-397.0,0.0,-17.0,0.0,-410.0,0.0,-42.0,0.0,-426.0,88.0,88.0,205.0,-2092.0,False
