Test_Id,Distribution,output_file_path,Agent_1_Max,Agent_1_Max_Unclipped,Agent_1_Sum,Agent_1_Sum_Unclipped,Agent_2_Max,Agent_2_Max_Unclipped,Agent_2_Sum,Agent_2_Sum_Unclipped,Agent_3_Max,Agent_3_Max_Unclipped,Agent_3_Sum,Agent_3_Sum_Unclipped,Agent_4_Max,Agent_4_Max_Unclipped,Agent_4_Sum,Agent_4_Sum_Unclipped,Agent_5_Max,Agent_5_Max_Unclipped,Agent_5_Sum,Agent_5_Sum_Unclipped,Agent_6_Max,Agent_6_Max_Unclipped,Agent_6_Sum,Agent_6_Sum_Unclipped,Agent_7_Max,Agent_7_Max_Unclipped,Agent_7_Sum,Agent_7_Sum_Unclipped,Agent_8_Max,Agent_8_Max_Unclipped,Agent_8_Sum,Agent_8_Sum_Unclipped,Max_Envies,Max_Envies_Unclipped,Sum_Envies,Sum_Envies_Unclipped,Envy_Freeness
1,uniform,outputs/agents_8/items_9/gpt4o/zero_shot6/output_1.txt,10.0,10.0,24.0,-189.0,9.0,9.0,9.0,-192.0,0.0,-1.0,0.0,-132.0,18.0,18.0,18.0,-212.0,0.0,-9.0,0.0,-177.0,0.0,-7.0,0.0,-256.0,8.0,8.0,8.0,-278.0,0.0,-3.0,0.0,-219.0,18.0,18.0,59.0,-1655.0,False
2,uniform,outputs/agents_8/items_9/gpt4o/zero_shot6/output_2.txt,0.0,0.0,0.0,-762.0,68.0,68.0,116.0,-347.0,63.0,63.0,119.0,-275.0,148.0,148.0,234.0,-157.0,54.0,54.0,137.0,-123.0,83.0,83.0,150.0,-224.0,141.0,141.0,383.0,259.0,0.0,0.0,0.0,-762.0,148.0,148.0,1139.0,-2391.0,False
3,uniform,outputs/agents_8/items_9/gpt4o/zero_shot6/output_3.txt,95.0,95.0,195.0,-255.0,0.0,0.0,0.0,-785.0,159.0,159.0,345.0,42.0,0.0,0.0,0.0,-785.0,0.0,0.0,0.0,-785.0,117.0,117.0,245.0,-144.0,47.0,47.0,106.0,-516.0,197.0,197.0,612.0,462.0,197.0,197.0,1503.0,-2766.0,False
4,uniform,outputs/agents_8/items_9/gpt4o/zero_shot6/output_4.txt,14.0,14.0,14.0,-431.0,0.0,-4.0,0.0,-364.0,0.0,-2.0,0.0,-398.0,0.0,-1.0,0.0,-302.0,17.0,17.0,17.0,-359.0,45.0,45.0,45.0,-300.0,0.0,-1.0,0.0,-347.0,26.0,26.0,60.0,-38.0,45.0,45.0,136.0,-2539.0,False
5,uniform,outputs/agents_8/items_9/gpt4o/zero_shot6/output_5.txt,12.0,12.0,21.0,-386.0,4.0,4.0,4.0,-336.0,0.0,-1.0,0.0,-285.0,6.0,6.0,9.0,-198.0,1.0,1.0,1.0,-435.0,0.0,-29.0,0.0,-429.0,22.0,22.0,26.0,-238.0,53.0,53.0,114.0,-9.0,53.0,53.0,175.0,-2316.0,False
6,uniform,outputs/agents_8/items_9/gpt4o/zero_shot6/output_6.txt,96.0,96.0,215.0,-37.0,65.0,65.0,114.0,-402.0,0.0,0.0,0.0,-814.0,71.0,71.0,106.0,-426.0,0.0,0.0,0.0,-814.0,75.0,75.0,210.0,91.0,15.0,15.0,17.0,-563.0,101.0,101.0,298.0,79.0,101.0,101.0,960.0,-2886.0,False
7,uniform,outputs/agents_8/items_9/gpt4o/zero_shot6/output_7.txt,181.0,181.0,579.0,400.0,0.0,0.0,0.0,-793.0,85.0,85.0,229.0,-105.0,64.0,64.0,129.0,-486.0,0.0,0.0,0.0,-793.0,0.0,0.0,0.0,-793.0,129.0,129.0,393.0,145.0,71.0,71.0,140.0,-284.0,181.0,181.0,1470.0,-2709.0,False
8,uniform,outputs/agents_8/items_9/gpt4o/zero_shot6/output_8.txt,12.0,12.0,12.0,-242.0,50.0,50.0,65.0,-151.0,58.0,58.0,58.0,-155.0,60.0,60.0,95.0,-35.0,60.0,60.0,85.0,-73.0,52.0,52.0,52.0,-198.0,0.0,0.0,0.0,-268.0,29.0,29.0,74.0,-17.0,60.0,60.0,441.0,-1139.0,False
9,uniform,outputs/agents_8/items_9/gpt4o/zero_shot6/output_9.txt,127.0,127.0,269.0,100.0,69.0,69.0,169.0,-222.0,0.0,0.0,0.0,-755.0,0.0,0.0,0.0,-755.0,99.0,99.0,263.0,19.0,55.0,55.0,84.0,-363.0,116.0,116.0,314.0,24.0,0.0,0.0,0.0,-755.0,127.0,127.0,1099.0,-2707.0,False
10,uniform,outputs/agents_8/items_9/gpt4o/zero_shot6/output_10.txt,34.0,34.0,71.0,-10.0,27.0,27.0,27.0,-308.0,37.0,37.0,37.0,-354.0,16.0,16.0,16.0,-384.0,39.0,39.0,39.0,-368.0,31.0,31.0,31.0,-354.0,0.0,-16.0,0.0,-433.0,0.0,-5.0,0.0,-326.0,39.0,39.0,221.0,-2537.0,False
11,uniform,outputs/agents_8/items_9/gpt4o/zero_shot6/output_11.txt,43.0,43.0,43.0,-286.0,5.0,5.0,5.0,-287.0,41.0,41.0,76.0,-96.0,39.0,39.0,39.0,-320.0,0.0,-22.0,0.0,-410.0,0.0,-11.0,0.0,-532.0,40.0,40.0,40.0,-249.0,17.0,17.0,18.0,-256.0,43.0,43.0,221.0,-2436.0,False
12,uniform,outputs/agents_8/items_9/gpt4o/zero_shot6/output_12.txt,5.0,5.0,5.0,-302.0,74.0,74.0,102.0,-157.0,21.0,21.0,33.0,-180.0,117.0,117.0,282.0,256.0,81.0,81.0,90.0,-184.0,63.0,63.0,129.0,-185.0,24.0,24.0,53.0,-185.0,38.0,38.0,73.0,-180.0,117.0,117.0,767.0,-1117.0,False
13,uniform,outputs/agents_8/items_9/gpt4o/zero_shot6/output_13.txt,7.0,7.0,7.0,-268.0,70.0,70.0,195.0,107.0,29.0,29.0,57.0,-153.0,69.0,69.0,69.0,-293.0,0.0,0.0,0.0,-244.0,28.0,28.0,31.0,-317.0,40.0,40.0,40.0,-274.0,3.0,3.0,3.0,-280.0,70.0,70.0,402.0,-1722.0,False
